"apmax","r","b","numNA","intercept","slope","intercept_pvalue","slope_pvalue","R2"
0.168191585375462,0.530230829212815,0.00607308169361204,1,0.124873691889752,0.964176539311495,0.255555483041402,0.209968138963763,0.791605887803359
0.159580982220359,0.60327536445111,0.00742306712083518,1,0.0266953656389682,0.96438376250589,0.816232312507349,0.234171362814644,0.77585173365793
0.155730202537961,0.553560365410522,0.00388281660503708,0,0.183546758269393,0.967698003859144,0.0856090478648681,0.244249644630591,0.80179061275264
0.146804154501297,0.523215796751902,0.00514571518287994,0,0.130499340289682,0.964820992392399,0.232944460943266,0.216499858757684,0.792544052585484
0.171801744028926,0.626696645049378,0.00358127396786585,0,0.184655481092617,0.971787717553127,0.081957169667608,0.306202571483229,0.804968035020996
0.149908744217828,0.45085777156055,0.00459293009946123,0,0.190952899115892,0.964761833720078,0.0732443963296049,0.203254704876243,0.801408632982243
0.136833051743452,0.598603751463816,0.00606799170607701,1,0.0554399217485937,0.959301584393524,0.628783551733397,0.174678427207355,0.77358732954643
0.160178013099357,0.454463363951072,0.00392650421592407,0,0.228044752699428,0.966045412122317,0.0299289426148819,0.212830384966906,0.806864692057286
0.164517604676075,0.522021618811414,0.00619694835157134,0,0.1200133257076,0.963761809331947,0.275352670878883,0.205639702175863,0.790263218880693
0.17371313375188,0.645461974665523,0.00661190371843986,1,0.0505259206654657,0.970139657946847,0.653668927852842,0.309083360660896,0.784501375030174
0.164063008700032,0.610439896490425,0.00565032163867727,0,0.0941122158926372,0.967892575414682,0.394732252058823,0.264595115687353,0.789869310314537
0.138119849131908,0.46416069958359,0.00585978562012315,2,0.139707616201336,0.955809720205558,0.21181440518276,0.13205358732392,0.780531213035463
0.164944141346496,0.542970011383295,0.00449903561733663,0,0.174081675956561,0.966703169230593,0.104281678670557,0.231879481487431,0.80021509509322
0.138104907248635,0.58892439045012,0.00370187142165378,1,0.16935230597575,0.962413358807457,0.118911356330265,0.184783111480658,0.793746797542023
0.136001501220744,0.648184161353856,0.00319296905654483,1,0.162851744787468,0.966777682496775,0.132805992770626,0.239907308174148,0.795962902965829
0.132737659756094,0.646568350819871,0.00569091470562853,1,0.0317082772530351,0.963706811947124,0.782766893207937,0.227352790647434,0.774152247923656
0.140777930268086,0.526361414324492,0.00314401942421682,1,0.22714826136739,0.961525545451461,0.0327277979921,0.16506461498445,0.800733026879417
0.125083826913033,0.579839174635708,0.00475537811522372,7,0.11973845923967,0.951536224333692,0.298221366649742,0.112369921391094,0.768170288388655
0.156571239675395,0.57897359887138,0.00631567798438482,0,0.0746280312562021,0.964886373230752,0.505851479590681,0.229251961473536,0.783964506653781
0.162568378343713,0.477743286127225,0.00695674242684618,1,0.114230680295136,0.962195878990122,0.302827020854778,0.190779749463553,0.787248558075731
0.150290257483721,0.474178504012525,0.00377721848781221,0,0.21339126314535,0.966308879262701,0.0434414953405405,0.219373527086823,0.804918133636778
0.13881242260104,0.617829990712926,0.00560531979659572,1,0.0671853950396348,0.96129162144326,0.554241879117863,0.19241245041638,0.777626918970122
0.142858978675213,0.611447802139446,0.00334046521689743,1,0.184193979873523,0.964273033842947,0.0872848236170537,0.203535592166623,0.797160498638833
0.157609097566456,0.576815702812746,0.00526824852800928,0,0.117567760770852,0.966369827898022,0.284255917051365,0.239129592897348,0.791829904608028
0.126013692351989,0.463871176401153,0.0063383112824522,3,0.0964298138852765,0.955413300775081,0.401249259250684,0.140088750603003,0.770693937018588
0.17472412774805,0.609936578152701,0.00252555280225351,0,0.244114032387903,0.972589472738201,0.0191435581048544,0.310151714277069,0.811623538640901
0.171354451554362,0.642743025626987,0.00359633464133367,0,0.176255805562934,0.972684301110533,0.0975246454765873,0.322889430741369,0.804551479310351
0.167180020536762,0.487293154746294,0.00251962266396731,0,0.279355204594051,0.969134384607518,0.00689491616726985,0.248822980365963,0.813370162500598
0.1381288475357,0.646480709407479,0.00388724852586165,1,0.130299782022091,0.96575587715895,0.235287511590054,0.232269219621413,0.791043957653339
0.150641933397856,0.526879132632166,0.00661212291219272,0,0.0807954326366917,0.962733520001713,0.471463180161423,0.202115630627515,0.783137127696369
0.169263448833954,0.568475703708827,0.00687199961510487,1,0.0807042191534541,0.964348904555728,0.472220491075473,0.22321638778474,0.783608350789209
0.130721652333159,0.572689053649083,0.00349740661331452,4,0.176350425155246,0.961409638824963,0.110686164918554,0.184706762133684,0.786386002846855
0.153786039841361,0.649665501434356,0.00566003393265419,0,0.0524328946435796,0.971025097899445,0.639977913567082,0.320755876698702,0.786250237645916
