uniqueID,lake,stateCountry,surfaceArea_km2,meanDepth_vol_SA_m,inflowRate_Q_m3_s,hrt_years,Tpout_mg_m3,loadingConstant_kgP_yr,volume_10^6m3,loadingM2_mgTP_m2yr,TPout/TPin,Rp,TPin_mg_m3,K_1_year,depth_10_z,flushingRate_1_years,qs_m_years_flush,qs_m_years_SA
198,White,Mich,10.4,6.9,14.8,0.15,26,20580,71.8,1979,0.590,0.410,44,4.54,1.45,6.5,45.0,44.88
199,Mona,Mich,2.8,4,1.7,0.21,369,27084,11.2,9638,0.730,0.270,505,1.77,2.50,4.8,19.2,19.08
200,Long,Mich,0.9,5.2,1.6,0.08,133,3941,4.4,4636,1.703,-0.703,78,-4.86,1.92,11.8,61.2,59.36
201,Higgins,Mich,38.9,14.9,1.2,15.60,6,1029,578.9,26,0.221,0.779,27,0.23,0.67,0.1,1.0,0.97
202,Houghton,Mich,81.1,2.3,4.4,1.30,16,4816,186.6,59,0.461,0.539,35,0.90,4.35,0.8,1.8,1.71
203,Thompson,Mich,1.1,2.7,0.217927632,0.42,41,431,2.9,407,0.654,0.346,63,1.27,3.70,2.4,6.5,6.48
204,Strawberry,Mich,1.0,6.7,6.2,0.04,68,9556,7.0,9188,1.391,-0.391,49,-7.90,1.49,28.1,188.1,188.00
205,Wolf,Minn,4.3,8.5,11.5,0.10,50,27351,36.1,6436,0.663,0.337,75,5.01,1.18,9.9,83.9,85.33
206,Pepin,Minn,101.2,5.1,659.5,0.02,185,3478770,516.0,34385,1.106,-0.106,167,-3.89,1.96,40.6,206.8,205.57
207,Zumbro,Minn,2.5,5.5,8.6,0.05,401,205673,13.6,83268,0.529,0.471,758,18.07,1.82,20.3,111.5,109.80
208,Spring,Minn,23.9,2.4,287.1,0.01,240,2562606,57.4,107132,0.848,0.152,283,26.18,4.17,146.0,350.4,378.51
209,St. Croix,Minn,33.2,8.8,144.2,0.06,55,295347,292.3,8891,0.847,0.153,65,2.87,1.14,15.9,139.7,136.89
210,Budd,Minn,0.9,3.5,0.291666667,0.34,192,1528,3.2,1698,1.156,-0.156,166,-0.39,2.86,2.9,10.2,10.22
211,Forest,Minn,9.1,3.4,0.172312122,5.70,21,1016,31.0,112,0.112,0.888,187,1.39,2.94,0.2,0.6,0.60
212,Wagonga,Minn,6.5,1.3,0.192569037,1.40,1000,26145,8.5,3998,0.232,0.768,4305,2.36,7.69,0.7,0.9,0.93
213,Green,Minn,21.9,6.4,1.2,3.70,15,2036,140.0,93,0.279,0.721,54,0.70,1.56,0.3,1.7,1.73
214,Nest,Minn,3.8,4.6,1.1,0.52,40,3034,17.6,794,0.457,0.543,87,2.28,2.17,1.9,8.8,9.08
215,Darling,Minn,3.9,6.2,0.871040066,0.87,17,730,23.9,189,0.640,0.360,27,0.65,1.61,1.1,7.1,7.12
216,Le Homme Dieu,Minn,7.1,6.4,0.181363955,7.90,19,780,45.2,110,0.139,0.861,136,0.78,1.56,0.1,0.8,0.81
217,Androsa,Minn,6.1,7.9,11.9,0.13,25,24549,48.3,4018,0.382,0.618,65,12.55,1.27,7.8,61.4,61.42
218,Bemidji,Minn,26.0,9.8,10.9,0.73,36,11474,254.6,442,1.079,-0.079,33,-0.10,1.02,1.4,13.3,13.23
219,Albert Lea,Minn,9.9,1.1,1.7,0.20,958,62590,10.9,6303,0.821,0.179,1167,1.09,9.09,5.0,5.5,5.40
220,Badger,Minn,1.4,1.2,0.183899177,0.30,22,907,1.7,634,0.141,0.859,156,20.65,8.33,3.4,4.1,4.06
221,Bartlett,Minn,1.2,2.6,0.053372587,1.90,136,458,3.2,372,0.500,0.500,272,0.53,3.85,0.5,1.4,1.37
222,Big Stone,Minn,51.0,3.4,3.3,1.70,159,15946,173.5,312,1.038,-0.038,153,-0.02,2.94,0.6,2.0,2.04
223,Blackduck,Minn,11.1,4.5,0.377120026,4.20,38,1592,50.0,143,0.284,0.716,134,0.60,2.22,0.2,1.1,1.07
224,Blackhoff,Minn,0.7,4.4,0.146634962,0.70,43,902,3.3,1219,0.220,0.780,195,5.02,2.27,1.4,6.2,6.25
225,Buffalo,Minn,6.1,4.4,0.608918606,1.40,209,5973,26.9,978,0.672,0.328,311,0.35,2.27,0.7,3.1,3.14
226,Cass,Minn,63.1,7.6,17.8,0.86,20,22227,479.7,352,0.505,0.495,40,1.14,1.32,1.2,8.9,8.89
227,Clearwater,Minn,12.9,5.2,1.5,1.40,28,8630,67.0,670,0.153,0.847,182,3.94,1.92,0.7,3.7,3.67
228,Cokato,Minn,2.2,7.6,0.468567842,1.13,231,5719,16.7,2600,0.597,0.403,387,0.60,1.32,0.9,6.7,6.72
229,Elbow,Minn,0.7,3.1,0.083638326,0.81,1380,5447,2.1,7894,0.668,0.332,2065,0.61,3.23,1.2,3.8,3.82
230,Embarrass,Minn,2.1,2.6,2.8,0.06,25,3501,5.3,1708,0.631,0.369,40,9.72,3.85,16.6,43.1,43.07
231,Gull,Minn,38.6,9.1,3.8,2.90,22,3669,351.4,95,0.719,0.281,31,0.14,1.10,0.3,3.1,3.10
232,Heron,Minn,33.4,0.9,2.6,0.37,302,34617,30.1,1037,0.715,0.285,422,1.08,11.11,2.7,2.4,2.46
233,Leech,Minn,453.3,4.7,13.1,5.20,15,17964,2130.3,40,0.345,0.655,43,0.37,2.13,0.2,0.9,0.91
