UID,SITE_ID,VISIT_NO,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,STATE,ECO_BIO,LAB,d18O_H2O,dD_H2O,E_I,RT,PUBLICATION_DATE
2007468,NLA06608-0001,1,7/31/2007,WMTNS,WMT,MT,WMTNS,ISIRF,-15.73,-120.24,0.103,0.77,8/13/2018
2007469,NLA06608-0002,1,6/14/2007,PLNLOW,CPL,SC,CPL,ISIRF,1.24,2.32,0.366,0.26,8/13/2018
2007470,NLA06608-0002,2,7/23/2007,PLNLOW,CPL,SC,CPL,ISIRF,2.47,5.7,0.467,0.33,8/13/2018
2007471,NLA06608-0003,1,8/29/2007,PLNLOW,CPL,TX,CPL,ISIRF,-0.01,-4.84,0.204,0.17,8/13/2018
2007472,NLA06608-0003,2,9/6/2007,PLNLOW,CPL,TX,CPL,ISIRF,-0.66,-4.7,0.181,0.15,8/13/2018
2007473,NLA06608-0004,1,7/10/2007,WMTNS,WMT,CO,WMTNS,ISIRF,-7.01,-61.77,0.285,1.05,8/13/2018
2007474,NLA06608-0004,2,9/11/2007,WMTNS,WMT,CO,WMTNS,ISIRF,-5.82,-53.7,0.376,1.38,8/13/2018
2007475,NLA06608-0005,1,7/18/2007,WMTNS,WMT,ID,WMTNS,ISIRF,-16.45,-128.54,0.082,0.48,8/13/2018
2007476,NLA06608-0005,2,8/22/2007,WMTNS,WMT,ID,WMTNS,ISIRF,-15.95,-125.55,0.11,0.64,8/13/2018
2007477,NLA06608-0006,1,7/17/2007,EHIGH,NAP,CT,EHIGH,ISIRF,-6.93,-45.54,0.002,0.16,8/13/2018
2007478,NLA06608-0006,2,8/30/2007,EHIGH,NAP,CT,EHIGH,ISIRF,-6.48,-43.12,0.027,0.38,8/13/2018
2007479,NLA06608-0007,1,7/24/2007,PLNLOW,UMW,WI,UMW,ISIRF,-3.65,-41.02,0.422,5.82,8/13/2018
2007480,NLA06608-0007,2,9/6/2007,PLNLOW,UMW,WI,UMW,ISIRF,-3.26,-38.85,0.471,6.49,8/13/2018
2007481,NLA06608-0008,1,7/12/2007,PLNLOW,TPL,IA,PLAINS,ISIRF,-2.05,-25.36,0.392,0.79,8/13/2018
2007482,NLA06608-0008,2,8/22/2007,PLNLOW,TPL,IA,PLAINS,ISIRF,-1.93,-20.82,0.41,0.83,8/13/2018
2007483,NLA06608-0010,1,7/17/2007,PLNLOW,UMW,MI,UMW,ISIRF,-3.55,-35.98,0.262,1.69,8/13/2018
2007484,NLA06608-0010,2,8/18/2007,PLNLOW,UMW,MI,UMW,ISIRF,-2.96,-34.11,0.299,1.93,8/13/2018
2007485,NLA06608-0012,1,6/13/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-3.65,-21.49,0.059,0.07,8/13/2018
2007486,NLA06608-0012,2,9/18/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-2.84,-19.89,0.106,0.13,8/13/2018
2007487,NLA06608-0013,1,9/4/2007,PLNLOW,CPL,NJ,CPL,ISIRF,-5.63,-35.1,0.001,0,8/13/2018
2007488,NLA06608-0013,2,9/14/2007,PLNLOW,CPL,NJ,CPL,ISIRF,-5.43,-34.3,0.01,0.01,8/13/2018
2007489,NLA06608-0014,1,8/6/2007,PLNLOW,TPL,ND,PLAINS,ISIRF,-2.62,-39.8,0.768,0.93,8/13/2018
2007490,NLA06608-0014,2,8/23/2007,PLNLOW,TPL,ND,PLAINS,ISIRF,-2.83,-39.77,0.755,0.92,8/13/2018
2007491,NLA06608-0015,1,7/10/2007,WMTNS,XER,NM,WMTNS,ISIRF,-8.91,-71.75,0.147,0.21,8/13/2018
2007492,NLA06608-0015,2,8/29/2007,WMTNS,XER,NM,WMTNS,ISIRF,-8.77,-71.81,0.15,0.22,8/13/2018
2007493,NLA06608-0016,1,6/27/2007,PLNLOW,SPL,NE,PLAINS,ISIRF,-7.91,-71.36,0.474,1.58,8/13/2018
2007494,NLA06608-0016,2,7/11/2007,PLNLOW,SPL,NE,PLAINS,ISIRF,-8.61,-76.01,0.349,1.16,8/13/2018
2007496,NLA06608-0019,1,6/11/2007,PLNLOW,NPL,ND,PLAINS,ISIRF,-5.72,-48.49,0.356,0.19,8/13/2018
2007497,NLA06608-0019,2,8/7/2007,PLNLOW,NPL,ND,PLAINS,ISIRF,-2.53,-31.78,0.71,0.37,8/13/2018
2007498,NLA06608-0020,1,6/11/2007,PLNLOW,TPL,IL,PLAINS,ISIRF,-5.44,-42.46,0.046,0.14,8/13/2018
2007499,NLA06608-0020,2,7/2/2007,PLNLOW,TPL,IL,PLAINS,ISIRF,-5.43,-40.22,0.055,0.17,8/13/2018
2007500,NLA06608-0021,1,7/27/2007,EHIGH,NAP,NY,EHIGH,ISIRF,-7.63,-58.21,0.072,2.88,8/13/2018
2007501,NLA06608-0021,2,8/30/2007,EHIGH,NAP,NY,EHIGH,ISIRF,-7.48,-58.28,0.075,2.88,8/13/2018
2007502,NLA06608-0023,1,8/9/2007,PLNLOW,SPL,TX,PLAINS,ISIRF,-2.21,-11.69,0.026,0.08,8/13/2018
2007503,NLA06608-0023,2,9/19/2007,PLNLOW,SPL,TX,PLAINS,ISIRF,-1.47,-8.85,0.063,0.08,8/13/2018
2007504,NLA06608-0024,1,7/11/2007,PLNLOW,CPL,TX,CPL,ISIRF,-1.52,-9.12,0.209,0.7,8/13/2018
2007505,NLA06608-0024,2,8/14/2007,PLNLOW,CPL,TX,CPL,ISIRF,-2.75,-14.79,0.122,0.41,8/13/2018
2007506,NLA06608-0025,1,6/18/2007,EHIGH,SAP,NC,EHIGH,ISIRF,-2.52,-20.04,0.176,0.42,8/13/2018
2007507,NLA06608-0025,2,7/18/2007,EHIGH,SAP,NC,EHIGH,ISIRF,-2.78,-17.37,0.194,0.46,8/13/2018
2007508,NLA06608-0029,1,7/2/2007,PLNLOW,CPL,DE,CPL,ISIRF,-4.12,-29.41,0.101,0.06,8/13/2018
2007509,NLA06608-0029,2,9/11/2007,PLNLOW,CPL,DE,CPL,ISIRF,-2.95,-22.21,0.19,0.11,8/13/2018
2007510,NLA06608-0031,1,6/13/2007,EHIGH,SAP,OH,EHIGH,ISIRF,-5.39,-34.77,0.035,0.06,8/13/2018
2007511,NLA06608-0031,2,9/5/2007,EHIGH,SAP,OH,EHIGH,ISIRF,-4.15,-27.74,0.121,0.21,8/13/2018
2007512,NLA06608-0033,1,7/17/2007,WMTNS,WMT,WA,WMTNS,ISIRF,-10.68,-81.33,0.116,0.15,8/13/2018
2007513,NLA06608-0033,2,8/28/2007,WMTNS,WMT,WA,WMTNS,ISIRF,-8.24,-72.53,0.231,0.29,8/13/2018
2007514,NLA06608-0036,1,7/12/2007,EHIGH,SAP,IL,EHIGH,ISIRF,-2.88,-23.66,0.199,0.4,8/13/2018
2007515,NLA06608-0036,2,7/16/2007,EHIGH,SAP,IL,EHIGH,ISIRF,-3.23,-22.98,0.167,0.33,8/13/2018
2007516,NLA06608-0037,1,7/13/2007,EHIGH,NAP,CT,EHIGH,ISIRF,-6.91,-45.69,0.009,0.18,8/13/2018
2007517,NLA06608-0037,2,9/5/2007,EHIGH,NAP,CT,EHIGH,ISIRF,-6.19,-43.82,0.038,0.23,8/13/2018
2007518,NLA06608-0038,1,7/12/2007,EHIGH,NAP,VT,EHIGH,ISIRF,-9.74,-75.86,0.197,1.61,8/13/2018
2007519,NLA06608-0038,2,8/27/2007,EHIGH,NAP,VT,EHIGH,ISIRF,-10.14,-73.8,0.187,1.53,8/13/2018
2007520,NLA06608-0041,1,6/12/2007,EHIGH,SAP,WV,EHIGH,ISIRF,-8.24,-50.33,0.098,1.47,8/13/2018
2007521,NLA06608-0041,2,7/11/2007,EHIGH,SAP,WV,EHIGH,ISIRF,-7.64,-47.97,0.129,1.95,8/13/2018
2007522,NLA06608-0042,1,6/22/2007,WMTNS,WMT,WY,WMTNS,ISIRF,-17.4,-131.71,0.049,0.64,8/13/2018
2007523,NLA06608-0042,2,7/6/2007,WMTNS,WMT,WY,WMTNS,ISIRF,-16.97,-130,0.069,0.91,8/13/2018
2007524,NLA06608-0043,1,7/31/2007,PLNLOW,UMW,IN,UMW,ISIRF,-5.37,-41,0.25,1.98,8/13/2018
2007525,NLA06608-0043,2,8/15/2007,PLNLOW,UMW,IN,UMW,ISIRF,-5.12,-39.58,0.21,1.67,8/13/2018
2007526,NLA06608-0044,1,7/18/2007,PLNLOW,SPL,NE,PLAINS,ISIRF,-3.78,-43.22,0.444,0.4,8/13/2018
2007527,NLA06608-0044,2,7/30/2007,PLNLOW,SPL,NE,PLAINS,ISIRF,-3.7,-41.51,0.465,0.41,8/13/2018
2007528,NLA06608-0045,1,6/26/2007,EHIGH,SAP,VA,EHIGH,ISIRF,-4.89,-30.79,0.058,0.04,8/13/2018
2007529,NLA06608-0045,2,8/2/2007,EHIGH,SAP,VA,EHIGH,ISIRF,-3.99,-27.14,0.107,0.07,8/13/2018
2007530,NLA06608-0048,1,8/2/2007,PLNLOW,CPL,MO,CPL,ISIRF,1.91,0.51,0.5,0.56,8/13/2018
2007531,NLA06608-0048,2,9/18/2007,PLNLOW,CPL,MO,CPL,ISIRF,2.32,3.01,0.56,0.63,8/13/2018
2007532,NLA06608-0049,1,8/15/2007,WMTNS,WMT,OR,WMTNS,ISIRF,-15.36,-114.81,0.038,0.12,8/13/2018
2007533,NLA06608-0050,1,7/2/2007,EHIGH,NAP,NH,EHIGH,ISIRF,-7.52,-55.72,0.049,0.19,8/13/2018
2007534,NLA06608-0050,2,8/30/2007,EHIGH,NAP,NH,EHIGH,ISIRF,-6.35,-49.47,0.115,0.33,8/13/2018
2007535,NLA06608-0053,1,8/23/2007,EHIGH,NAP,NY,EHIGH,ISIRF,-7.94,-60.02,0.049,0.11,8/13/2018
2007536,NLA06608-0053,2,9/27/2007,EHIGH,NAP,NY,EHIGH,ISIRF,-7.58,-56.11,0.077,0.18,8/13/2018
2007538,NLA06608-0057,1,6/16/2007,EHIGH,SAP,NC,EHIGH,ISIRF,-1.68,-16.06,0.2,0.23,8/13/2018
2007539,NLA06608-0057,2,7/14/2007,EHIGH,SAP,NC,EHIGH,ISIRF,-1.68,-12.73,0.229,0.26,8/13/2018
2007541,NLA06608-0061,1,6/12/2007,WMTNS,XER,AZ,WMTNS,ISIRF,-4.16,-44.8,0.269,1.11,8/13/2018
2007542,NLA06608-0061,2,8/22/2007,WMTNS,XER,AZ,WMTNS,ISIRF,-3.66,-41.02,0.305,1.25,8/13/2018
2007543,NLA06608-0062,1,8/9/2007,PLNLOW,NPL,ND,PLAINS,ISIRF,-3,-36.54,0.771,1.28,8/13/2018
2007544,NLA06608-0062,2,8/27/2007,PLNLOW,NPL,ND,PLAINS,ISIRF,-2.96,-35.74,0.787,1.31,8/13/2018
2007545,NLA06608-0064,1,6/18/2007,PLNLOW,NPL,MT,PLAINS,ISIRF,-7.73,-84.3,0.471,0.9,8/13/2018
2007546,NLA06608-0064,2,8/26/2007,PLNLOW,NPL,MT,PLAINS,ISIRF,-4.49,-68.13,0.748,1.43,8/13/2018
2007547,NLA06608-0065,1,7/17/2007,WMTNS,WMT,MT,WMTNS,ISIRF,-15.98,-122.15,0.078,0.72,8/13/2018
2007548,NLA06608-0065,2,9/12/2007,WMTNS,WMT,MT,WMTNS,ISIRF,-15.31,-122,0.084,0.77,8/13/2018
2007549,NLA06608-0066,1,6/12/2007,EHIGH,SAP,PA,EHIGH,ISIRF,-8.64,-57.45,0.038,0.31,8/13/2018
2007550,NLA06608-0066,2,9/18/2007,EHIGH,SAP,PA,EHIGH,ISIRF,-7.59,-50.57,0.104,0.85,8/13/2018
2007552,NLA06608-0068,1,7/9/2007,WMTNS,WMT,CO,WMTNS,ISIRF,-13.81,-98.38,0.027,0.57,8/13/2018
2007553,NLA06608-0068,2,9/12/2007,WMTNS,WMT,CO,WMTNS,ISIRF,-12.96,-92.03,0.083,1.73,8/13/2018
2007554,NLA06608-0069,1,7/18/2007,PLNLOW,CPL,FL,CPL,ISIRF,2.37,9.14,0.339,0.39,8/13/2018
2007555,NLA06608-0069,2,9/26/2007,PLNLOW,CPL,FL,CPL,ISIRF,1.41,4.71,0.321,0.37,8/13/2018
2007556,NLA06608-0071,1,9/6/2007,PLNLOW,CPL,LA,CPL,ISIRF,2.39,8.59,0.583,0.9,8/13/2018
2007557,NLA06608-0071,2,9/8/2007,PLNLOW,CPL,LA,CPL,ISIRF,2.63,9.45,0.659,1.02,8/13/2018
2007558,NLA06608-0072,1,7/26/2007,PLNLOW,SPL,TX,PLAINS,ISIRF,-1.62,-11.08,0.151,0.29,8/13/2018
2007559,NLA06608-0072,2,8/15/2007,PLNLOW,SPL,TX,PLAINS,ISIRF,-1.56,-9.96,0.163,0.32,8/13/2018
2007560,NLA06608-0073,1,6/12/2007,WMTNS,XER,NV,WMTNS,ISIRF,-0.07,-38.52,0.676,146.95,8/13/2018
2007561,NLA06608-0073,2,7/18/2007,WMTNS,XER,NV,WMTNS,ISIRF,0,-38.61,0.678,146.95,8/13/2018
2007562,NLA06608-0076,1,7/27/2007,PLNLOW,TPL,MO,PLAINS,ISIRF,-2.02,-15.33,0.418,1.04,8/13/2018
2007563,NLA06608-0076,2,9/4/2007,PLNLOW,TPL,MO,PLAINS,ISIRF,-1.7,-13.76,0.418,1.05,8/13/2018
2007564,NLA06608-0077,1,9/8/2007,EHIGH,NAP,NJ,EHIGH,ISIRF,-2.84,-24.87,0.343,0.35,8/13/2018
2007565,NLA06608-0077,2,9/13/2007,EHIGH,NAP,NJ,EHIGH,ISIRF,-2.82,-26,0.331,0.34,8/13/2018
2007566,NLA06608-0078,1,8/8/2007,PLNLOW,TPL,ND,PLAINS,ISIRF,-3.16,-39.89,0.922,0.61,8/13/2018
2007567,NLA06608-0078,2,8/21/2007,PLNLOW,TPL,ND,PLAINS,ISIRF,-2.43,-37.8,1.014,0.67,8/13/2018
2007568,NLA06608-0079,1,7/12/2007,WMTNS,WMT,CO,WMTNS,ISIRF,-16.42,-124.29,0.028,1.22,8/13/2018
2007569,NLA06608-0079,2,8/16/2007,WMTNS,WMT,CO,WMTNS,ISIRF,-15.83,-120.94,0.057,2.5,8/13/2018
2007570,NLA06608-0080,1,9/9/2007,PLNLOW,CPL,AR,CPL,ISIRF,-0.83,-7.87,0.296,0.26,8/13/2018
2007571,NLA06608-0080,2,9/10/2007,PLNLOW,CPL,AR,CPL,ISIRF,-0.68,-9.19,0.365,0.32,8/13/2018
2007572,NLA06608-0081,1,7/3/2007,WMTNS,WMT,WA,WMTNS,ISIRF,-6.39,-56.99,0.164,0.65,8/13/2018
2007573,NLA06608-0081,2,9/19/2007,WMTNS,WMT,WA,WMTNS,ISIRF,-6.07,-54.14,0.197,0.78,8/13/2018
2007574,NLA06608-0083,1,6/13/2007,PLNLOW,NPL,ND,PLAINS,ISIRF,-3.72,-38.36,0.591,0.54,8/13/2018
2007575,NLA06608-0083,2,8/9/2007,PLNLOW,NPL,ND,PLAINS,ISIRF,-1.86,-28.48,0.85,0.77,8/13/2018
2007576,NLA06608-0085,1,7/10/2007,WMTNS,XER,ID,WMTNS,ISIRF,-4.34,-65.15,0.502,0.5,8/13/2018
2007577,NLA06608-0085,2,8/20/2007,WMTNS,XER,ID,WMTNS,ISIRF,-2.18,-54.74,0.658,0.65,8/13/2018
2007578,NLA06608-0086,1,8/2/2007,WMTNS,WMT,WA,WMTNS,ISIRF,-8.44,-61.46,0.037,0.29,8/13/2018
2007579,NLA06608-0086,2,9/20/2007,WMTNS,WMT,WA,WMTNS,ISIRF,-8.42,-61.85,0.035,0.28,8/13/2018
2007580,NLA06608-0089,1,6/17/2007,EHIGH,SAP,NC,EHIGH,ISIRF,-4.77,-30.45,0.045,0.19,8/13/2018
2007581,NLA06608-0089,2,7/17/2007,EHIGH,SAP,NC,EHIGH,ISIRF,-4.95,-29.59,0.05,0.21,8/13/2018
2007582,NLA06608-0090,1,6/26/2007,WMTNS,WMT,WY,WMTNS,ISIRF,-13.79,-113.78,0.122,0.88,8/13/2018
2007583,NLA06608-0090,2,7/25/2007,WMTNS,WMT,WY,WMTNS,ISIRF,-12.38,-107.89,0.195,1.4,8/13/2018
2007584,NLA06608-0091,1,7/10/2007,PLNLOW,TPL,IN,PLAINS,ISIRF,-4.36,-33.33,0.035,0.16,8/13/2018
2007585,NLA06608-0091,2,8/13/2007,PLNLOW,TPL,IN,PLAINS,ISIRF,-3.73,-28.53,0.079,0.16,8/13/2018
2007586,NLA06608-0099,1,7/3/2007,PLNLOW,TPL,WI,PLAINS,ISIRF,-5.83,-45.53,0.162,1.59,8/13/2018
2007587,NLA06608-0099,2,9/5/2007,PLNLOW,TPL,WI,PLAINS,ISIRF,-5.68,-42.65,0.18,1.77,8/13/2018
2007588,NLA06608-0101,1,8/21/2007,EHIGH,NAP,CT,EHIGH,ISIRF,-6.78,-48.63,0.136,0.78,8/13/2018
2007589,NLA06608-0102,1,8/3/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-9.06,-66.36,0.04,0.94,8/13/2018
2007590,NLA06608-0104,1,6/22/2007,PLNLOW,SPL,KS,PLAINS,ISIRF,-2.69,-19.45,0.252,0.22,8/13/2018
2007591,NLA06608-0104,2,7/24/2007,PLNLOW,SPL,KS,PLAINS,ISIRF,-1.98,-20.13,0.255,0.22,8/13/2018
2007592,NLA06608-0105,1,7/5/2007,WMTNS,WMT,UT,WMTNS,ISIRF,-11.6,-94.66,0.177,0.6,8/13/2018
2007593,NLA06608-0105,2,9/12/2007,WMTNS,WMT,UT,WMTNS,ISIRF,-10.95,-90.9,0.203,0.69,8/13/2018
2007594,NLA06608-0107,1,6/25/2007,PLNLOW,UMW,IN,UMW,ISIRF,-1.68,-24.84,0.33,0.72,8/13/2018
2007595,NLA06608-0110,1,7/31/2007,PLNLOW,UMW,MN,UMW,ISIRF,-3.58,-39.89,0.53,3.42,8/13/2018
2007596,NLA06608-0111,1,8/1/2007,EHIGH,NAP,OH,EHIGH,ISIRF,-6.92,-51.01,0.073,0.32,8/13/2018
2007597,NLA06608-0112,1,7/9/2007,PLNLOW,TPL,IL,PLAINS,ISIRF,-5.01,-37.91,0.064,0.17,8/13/2018
2007598,NLA06608-0113,1,7/16/2007,EHIGH,NAP,VT,EHIGH,ISIRF,-10.69,-75.03,0,0.15,8/13/2018
2007599,NLA06608-0115,1,7/18/2007,PLNLOW,UMW,WI,UMW,ISIRF,-8.87,-62.39,0.015,2.84,8/13/2018
2007600,NLA06608-0116,1,6/28/2007,WMTNS,XER,NM,WMTNS,ISIRF,-10.95,-84.77,0.116,1.09,8/13/2018
2007601,NLA06608-0120,1,6/18/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-3.69,-21.6,0.052,0.3,8/13/2018
2007602,NLA06608-0120,2,9/26/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-4.53,-30.4,0.001,0.01,8/13/2018
2007604,NLA06608-0124,1,7/19/2007,PLNLOW,SPL,NE,PLAINS,ISIRF,-0.49,-23.25,0.904,0.52,8/13/2018
2007605,NLA06608-0126,1,6/21/2007,PLNLOW,NPL,ND,PLAINS,ISIRF,-4.72,-45.02,0.602,0.95,8/13/2018
2007606,NLA06608-0126,2,8/28/2007,PLNLOW,NPL,ND,PLAINS,ISIRF,-3.21,-36.13,0.847,1.34,8/13/2018
2007607,NLA06608-0127,1,7/11/2007,WMTNS,XER,AZ,WMTNS,ISIRF,0.27,-19.62,0.507,1.55,8/13/2018
2007608,NLA06608-0128,1,6/21/2007,PLNLOW,NPL,MT,PLAINS,ISIRF,-10.82,-96.74,0.114,0.1,8/13/2018
2007609,NLA06608-0128,2,8/25/2007,PLNLOW,NPL,MT,PLAINS,ISIRF,-5.96,-73.21,0.425,0.38,8/13/2018
2007610,NLA06608-0129,1,7/21/2007,WMTNS,WMT,MT,WMTNS,ISIRF,-10.36,-94.03,0.297,12.82,8/13/2018
2007611,NLA06608-0129,2,9/16/2007,WMTNS,WMT,MT,WMTNS,ISIRF,-9.43,-92.41,0.342,14.77,8/13/2018
2007612,NLA06608-0130,1,8/13/2007,WMTNS,XER,AZ,WMTNS,ISIRF,-5.06,-42.61,0.15,0.43,8/13/2018
2007613,NLA06608-0132,1,8/28/2007,WMTNS,WMT,AZ,WMTNS,ISIRF,-5.84,-57.19,0.247,0.84,8/13/2018
2007614,NLA06608-0134,1,7/24/2007,EHIGH,NAP,CT,EHIGH,ISIRF,-5.27,-38.28,0.18,2.35,8/13/2018
2007615,NLA06608-0137,1,9/17/2007,WMTNS,WMT,CA,WMTNS,ISIRF,-14.23,-104.97,0.011,0.33,8/13/2018
2007616,NLA06608-0139,1,7/11/2007,PLNLOW,UMW,IN,UMW,ISIRF,-4.95,-37.4,0.064,0.22,8/13/2018
2007617,NLA06608-0140,1,6/20/2007,PLNLOW,TPL,KS,PLAINS,ISIRF,-1.68,-11.31,0.305,0.2,8/13/2018
2007618,NLA06608-0141,1,8/23/2007,PLNLOW,CPL,DE,CPL,ISIRF,-4.33,-28.23,0.085,0.05,8/13/2018
2007619,NLA06608-0142,1,8/13/2007,PLNLOW,UMW,WI,UMW,ISIRF,-6.24,-52.59,0.26,2.49,8/13/2018
2007620,NLA06608-0144,1,8/2/2007,PLNLOW,SPL,TX,PLAINS,ISIRF,-0.89,-10.14,0.286,1.05,8/13/2018
2007621,NLA06608-0144,2,9/13/2007,PLNLOW,SPL,TX,PLAINS,ISIRF,-0.54,-8.01,0.323,1.18,8/13/2018
2007622,NLA06608-0148,1,7/26/2007,PLNLOW,TPL,IN,PLAINS,ISIRF,-4.55,-32.61,0.095,0.23,8/13/2018
2007623,NLA06608-0149,1,7/18/2007,EHIGH,NAP,PA,EHIGH,ISIRF,-6.16,-46.02,0.178,1.11,8/13/2018
2007624,NLA06608-0150,1,8/2/2007,EHIGH,NAP,ME,EHIGH,ISIRF,-8.08,-59.24,0.04,0.36,8/13/2018
2007625,NLA06608-0152,1,7/17/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-1.55,-12.7,0.348,0.98,8/13/2018
2007626,NLA06608-0153,1,8/30/2007,EHIGH,SAP,VA,EHIGH,ISIRF,-4.54,-28.57,0.092,0.13,8/13/2018
2007627,NLA06608-0155,1,7/31/2007,PLNLOW,TPL,IL,PLAINS,ISIRF,-4.12,-34.51,0.139,0.67,8/13/2018
2007628,NLA06608-0158,1,9/5/2007,PLNLOW,UMW,WI,UMW,ISIRF,-2.63,-32.64,0.558,2.73,8/13/2018
2007629,NLA06608-0161,1,8/15/2007,PLNLOW,CPL,FL,CPL,ISIRF,1.51,8.05,0.411,0.4,8/13/2018
2007630,NLA06608-0162,1,8/28/2007,EHIGH,NAP,NH,EHIGH,ISIRF,-5.13,-41.51,0.193,0.26,8/13/2018
2007631,NLA06608-0167,1,7/23/2007,PLNLOW,UMW,MN,UMW,ISIRF,-0.47,-19.66,0.738,0.5,8/13/2018
2007632,NLA06608-0167,2,8/29/2007,PLNLOW,UMW,MN,UMW,ISIRF,-1.48,-19.84,0.675,0.46,8/13/2018
2007633,NLA06608-0168,1,6/13/2007,PLNLOW,TPL,KS,PLAINS,ISIRF,-2.74,-16.76,0.173,0.3,8/13/2018
2007634,NLA06608-0169,1,7/5/2007,WMTNS,WMT,UT,WMTNS,ISIRF,-14.72,-113.73,0.091,0.63,8/13/2018
2007635,NLA06608-0169,2,9/13/2007,WMTNS,WMT,UT,WMTNS,ISIRF,-14.62,-112.59,0.095,0.66,8/13/2018
2007636,NLA06608-0170,1,9/21/2007,PLNLOW,UMW,MI,UMW,ISIRF,-3.4,-38.64,0.312,0.68,8/13/2018
2007637,NLA06608-0173,1,7/11/2007,WMTNS,XER,CA,WMTNS,ISIRF,-2.51,-48.96,0.599,1.36,8/13/2018
2007638,NLA06608-0174,1,7/25/2007,PLNLOW,UMW,MN,UMW,ISIRF,-3.17,-36.42,0.551,5.38,8/13/2018
2007639,NLA06608-0174,2,8/28/2007,PLNLOW,UMW,MN,UMW,ISIRF,-3.18,-35.23,0.572,5.58,8/13/2018
2007640,NLA06608-0175,1,8/30/2007,PLNLOW,TPL,OH,PLAINS,ISIRF,-4.74,-33.19,0.129,0.33,8/13/2018
2007641,NLA06608-0176,1,9/7/2007,PLNLOW,CPL,AR,CPL,ISIRF,-2.47,-16.38,0.182,0.13,8/13/2018
2007642,NLA06608-0177,1,8/22/2007,EHIGH,NAP,VT,EHIGH,ISIRF,-10.03,-69.94,0.013,1.4,8/13/2018
2007643,NLA06608-0179,1,6/4/2007,PLNLOW,NPL,SD,PLAINS,ISIRF,0.21,-22.35,0.78,0.66,8/13/2018
2007644,NLA06608-0179,2,8/29/2007,PLNLOW,NPL,SD,PLAINS,ISIRF,2.96,-9.22,1.128,0.95,8/13/2018
2007645,NLA06608-0180,1,8/29/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-3.71,-25.36,0.116,0.18,8/13/2018
2007646,NLA06608-0181,1,9/20/2007,WMTNS,WMT,CA,WMTNS,ISIRF,-3.3,-59.56,0.534,18.59,8/13/2018
2007647,NLA06608-0183,1,7/25/2007,PLNLOW,UMW,WI,UMW,ISIRF,-5.16,-47.81,0.24,1.08,8/13/2018
2007648,NLA06608-0184,1,6/15/2007,PLNLOW,TPL,KS,PLAINS,ISIRF,-2.48,-18.37,0.37,0.3,8/13/2018
2007649,NLA06608-0185,1,8/14/2007,EHIGH,NAP,PA,EHIGH,ISIRF,-5.51,-39.97,0.218,0.28,8/13/2018
2007650,NLA06608-0189,1,6/11/2007,EHIGH,SAP,WV,EHIGH,ISIRF,-6.55,-42.41,0.082,0.18,8/13/2018
2007651,NLA06608-0189,2,7/10/2007,EHIGH,SAP,WV,EHIGH,ISIRF,-6.1,-41.28,0.1,0.22,8/13/2018
2007652,NLA06608-0190,1,8/14/2007,PLNLOW,UMW,MN,UMW,ISIRF,-2.85,-42.08,0.609,2.98,8/13/2018
2007653,NLA06608-0191,1,7/21/2007,EHIGH,SAP,NC,EHIGH,ISIRF,-5.4,-32.03,0.139,2.68,8/13/2018
2007654,NLA06608-0193,1,7/11/2007,WMTNS,WMT,WA,WMTNS,ISIRF,-15.56,-114.18,0,0,8/13/2018
2007655,NLA06608-0195,1,6/12/2007,PLNLOW,NPL,ND,PLAINS,ISIRF,-6.69,-55.49,0.362,0.42,8/13/2018
2007656,NLA06608-0196,1,6/21/2007,PLNLOW,TPL,IL,PLAINS,ISIRF,-4.26,-32.31,0.117,0.28,8/13/2018
2007657,NLA06608-0198,1,7/24/2007,PLNLOW,CPL,MA,CPL,ISIRF,-2.97,-22.45,0.326,1.42,8/13/2018
2007658,NLA06608-0201,1,9/18/2007,WMTNS,WMT,CA,WMTNS,ISIRF,-10.61,-76.71,0.03,0.37,8/13/2018
2007660,NLA06608-0203,1,8/2/2007,EHIGH,SAP,AL,EHIGH,ISIRF,-2.83,-16.71,0.082,0.98,8/13/2018
2007661,NLA06608-0204,1,9/12/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-2.39,-20.8,0.311,0.28,8/13/2018
2007662,NLA06608-0207,1,7/18/2007,EHIGH,SAP,GA,EHIGH,ISIRF,2.06,6.32,0.607,0.89,8/13/2018
2007663,NLA06608-0207,2,9/5/2007,EHIGH,SAP,GA,EHIGH,ISIRF,2.63,8.06,0.67,0.99,8/13/2018
2007664,NLA06608-0208,1,9/6/2007,PLNLOW,CPL,AR,CPL,ISIRF,2.28,6.16,0.732,1.28,8/13/2018
2007665,NLA06608-0209,1,7/19/2007,WMTNS,WMT,WA,WMTNS,ISIRF,-8.26,-64.02,0.083,1.32,8/13/2018
2007666,NLA06608-0209,2,9/27/2007,WMTNS,WMT,WA,WMTNS,ISIRF,-8.05,-62.74,0.096,1.53,8/13/2018
