UID,SITE_ID,VISIT_NO,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,STATE,ECO_BIO,LAB,d18O_H2O,dD_H2O,E_I,RT,PUBLICATION_DATE
2008666,NLA06608-4056,1,7/5/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-2.05,-15.97,0.387,1.1,8/13/2018
2008667,NLA06608-4064,1,7/31/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-0.37,-17.55,0.457,0.73,8/13/2018
2008668,NLA06608-4206,1,9/19/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,1.1,-3.73,0.747,1.28,8/13/2018
2008669,NLA06608-4252,1,8/23/2007,EHIGH,NAP,VT,EHIGH,ISIRF,-6.61,-55.89,0.123,1.71,8/13/2018
2008670,NLA06608-4320,1,9/10/2007,PLNLOW,TPL,OK,PLAINS,ISIRF,-4.44,-28.84,0.095,0.48,8/13/2018
2008671,NLA06608-4382,1,9/10/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-4.66,-32.26,0.062,0.08,8/13/2018
2008672,NLA06608-4413,1,7/18/2007,EHIGH,NAP,RI,EHIGH,ISIRF,-5.48,-37.94,0.107,0.14,8/13/2018
2008673,NLA06608-4414,1,8/29/2007,EHIGH,SAP,OK,EHIGH,ISIRF,-2.21,-12.61,0.153,0.19,8/13/2018
2008674,NLA06608-4440,1,9/4/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-2.57,-15.78,0.178,0.6,8/13/2018
2008675,NLA06608-4472,1,8/7/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-1.75,-12.2,0.307,0.41,8/13/2018
2008676,NLA06608-4504,1,6/5/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-2.43,-12.77,0.088,0.19,8/13/2018
2008677,NLA06608-4610,1,7/24/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-3.72,-20.5,0.018,0.06,8/13/2018
2008678,NLA06608-4643,1,8/21/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-1.84,-11.75,0.253,0.51,8/13/2018
2008679,NLA06608-4650,1,9/13/2007,PLNLOW,CPL,LA,CPL,ISIRF,-2.81,-19.15,0.081,0.1,8/13/2018
2008680,NLA06608-4659,1,9/19/2007,PLNLOW,SPL,OK,PLAINS,ISIRF,-7.83,-56.52,0.123,0.19,8/13/2018
2008681,NLA06608-4686,1,9/12/2007,PLNLOW,CPL,LA,CPL,ISIRF,1.61,4.43,0.502,0.71,8/13/2018
2008682,NLA06608-4698,1,9/16/2007,PLNLOW,CPL,LA,CPL,ISIRF,1.77,5.67,0.72,0.56,8/13/2018
